Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000051951,Xkr4,0.010566598082072463,-0.9323041955810858,0.6719117570038777,0.01765880628166121,0.9323041955810858,0.6719117570038777
ENSMUSG00000089699,Gm1992,0.0,-3.1953386014148792,0.4917635640740435,0.004414701570415303,3.1953386014148792,0.4917635640740435
ENSMUSG00000102331,Gm19938,0.02305439581543083,-1.458373007248674,0.11415672717617166,0.06180582198581423,1.458373007248674,0.11415672717617166
ENSMUSG00000025902,Sox17,0.07204498692322134,-1.5621209320865033,0.0004851867846544368,0.21190567537993452,1.5621209320865033,0.0004851867846544368
ENSMUSG00000033845,Mrpl15,0.8606974437760843,0.35623773081172916,0.536393243329178,0.671034638703126,-0.35623773081172916,0.536393243329178
ENSMUSG00000025903,Lypla1,0.6157444882371318,-0.21763726852365484,0.7127802740959343,0.715181654407279,0.21763726852365484,0.7127802740959368
ENSMUSG00000033813,Tcea1,1.0307236129148867,0.13197269016938548,0.9443737991904387,0.9403314344984595,-0.13197269016938548,0.9443737991904387
ENSMUSG00000002459,Rgs20,0.1219961778566548,-0.5528906060329639,0.39671982665640937,0.1765880628166121,0.5528906060329639,0.39671982665640937
ENSMUSG00000033793,Atp6v1h,1.0960444010586075,0.5869689026010377,0.23076840819480837,0.7284257591185249,-0.5869689026010377,0.23076840819480837
ENSMUSG00000025905,Oprk1,0.018251396687216072,-1.6807654285851221,0.07559455925680555,0.057391120415398934,1.6807654285851221,0.07559455925680555
ENSMUSG00000025907,Rb1cc1,0.7607950619092174,0.15971404901486064,0.897351169767272,0.6798640418439565,-0.15971404901486064,0.897351169767272
ENSMUSG00000090031,4732440D04Rik,0.02305439581543083,-0.13644491236131184,1.0,0.022073507852076513,0.13644491236131184,1.0
ENSMUSG00000087247,Alkal1,0.010566598082072463,0.38962389930627683,0.9672837284425192,0.004414701570415303,-0.38962389930627683,0.9672837284425192
ENSMUSG00000033740,St18,0.018251396687216072,0.1265894934724825,1.0,0.013244104711245907,-0.1265894934724825,1.0
ENSMUSG00000051285,Pcmtd1,1.243016174381979,0.23050844492907446,0.7552311465029115,1.0595283768996726,-0.23050844492907446,0.7552311465029115
ENSMUSG00000097797,Gm26901,0.040345192677003955,-0.22850546535007865,0.9868804854826424,0.044147015704153025,0.22850546535007865,0.9868804854826424
ENSMUSG00000025909,Sntg1,0.08165098517965086,0.06100115184490518,1.0,0.07504992669706015,-0.06100115184490518,1.0
ENSMUSG00000061024,Rrs1,0.3496583365340343,-0.1430175662847979,0.8737470874622884,0.3840790366261313,0.1430175662847979,0.8737470874622884
ENSMUSG00000025911,Adhfe1,0.29682534612367195,-0.4110672924703176,0.4917635640740435,0.39290843976696194,0.4110672924703176,0.4917635640740435
ENSMUSG00000079671,2610203C22Rik,0.0028817994769288536,-1.7803011021360362,0.5547225942255025,0.008829403140830605,1.7803011021360362,0.5547225942255025
ENSMUSG00000067879,Vxn,0.16426257018494467,0.4760386511237491,0.5585317228994066,0.11478224083079787,-0.4760386511237491,0.5585317228994066
ENSMUSG00000025912,Mybl1,0.011527197907715414,-0.07986138399494447,1.0,0.008829403140830605,0.07986138399494447,1.0
ENSMUSG00000045210,Vcpip1,0.5292905039292661,0.19894033769716613,0.8521164687105027,0.4591289633231915,-0.19894033769716613,0.8521164687105027
ENSMUSG00000097893,1700034P13Rik,0.0,-3.1953386014148792,0.4917635640740435,0.004414701570415303,3.1953386014148792,0.4917635640740435
ENSMUSG00000025915,Sgk3,0.08069038535400791,-0.5933025873347826,0.6632184165781352,0.11919694240121317,0.5933025873347826,0.6632184165781352
ENSMUSG00000046101,Mcmdc2,0.02401499564107378,2.5051011167262125,0.1348379882402702,0.0,-2.5051011167262125,0.1348379882402702
ENSMUSG00000098234,Snhg6,0.7828888578990052,0.5582235032820206,0.24953019940275029,0.5297641884498363,-0.5582235032820206,0.24953019940275029
ENSMUSG00000099032,Tcf24,0.006724198779500658,-0.7803011021360371,0.9385228144986701,0.008829403140830605,0.7803011021360371,0.9385228144986701
ENSMUSG00000025916,Ppp1r42,0.00768479860514361,-0.02541359997256709,1.0,0.004414701570415303,0.02541359997256709,1.0
ENSMUSG00000025917,Cops5,1.4447421377669987,0.01591326231636714,1.0,1.430363308814558,-0.01591326231636714,1.0
ENSMUSG00000056763,Cspp1,0.20845016216452042,0.049283767305033255,1.0,0.19866157066868861,-0.049283767305033255,1.0
ENSMUSG00000067851,Arfgef1,1.1469561918176838,0.5517228704868331,0.2312001569667483,0.7814021779635085,-0.5517228704868331,0.2312001569667483
ENSMUSG00000042501,Cpa6,0.31411614298524504,1.4073259010397348,0.0021294671785723174,0.11478224083079787,-1.4073259010397348,0.0021294671785723174
ENSMUSG00000048960,Prex2,0.18539576634908958,-1.1189877152847656,0.0014965005813555015,0.4017378429077925,1.1189877152847656,0.0014965005813555015
ENSMUSG00000057715,A830018L16Rik,0.3535007358366061,1.2446755633951763,0.005598433235698169,0.14568515182370498,-1.2446755633951763,0.005598433235698169
ENSMUSG00000016918,Sulf1,0.23150455797995126,0.023084917718621867,1.0,0.22514978009118042,-0.023084917718621867,1.0
ENSMUSG00000025938,Slco5a1,0.20556836268759157,1.8524145300334878,0.0005141563245702247,0.05297641884498363,-1.8524145300334878,0.0005141563245702247
ENSMUSG00000005886,Ncoa2,0.6772228770782807,0.1184386523516181,0.9863577268403931,0.6224729214285577,-0.1184386523516181,0.9863577268403931
ENSMUSG00000101476,Gm29570,0.0009605998256429513,-1.1953386014148792,1.0,0.0,1.1953386014148792,1.0
ENSMUSG00000025935,Tram1,0.40249132694439654,-0.7099117742446384,0.05561771063254676,0.65779053399188,0.7099117742446384,0.05561771063254676
ENSMUSG00000025937,Lactb2,0.10182358151815284,-0.4982657343721866,0.4917635640740435,0.1412704502532897,0.4982657343721866,0.4917635640740435
ENSMUSG00000025932,Eya1,0.12487797733358366,0.7506215588722305,0.32969130045891043,0.07063522512664484,-0.7506215588722305,0.32969130045891043
ENSMUSG00000054493,Gm9947,0.0009605998256429513,-2.780301102136036,0.3603883388170549,0.008829403140830605,2.780301102136036,0.3603883388170549
ENSMUSG00000025930,Msc,0.009605998256429512,-0.3208694834987398,1.0,0.008829403140830605,0.3208694834987398,1.0
ENSMUSG00000032769,Trpa1,0.0009605998256429513,-2.1953386014148792,0.6602627859672409,0.004414701570415303,2.1953386014148792,0.6602627859672409
ENSMUSG00000092083,Kcnb2,0.8568550444735125,1.3403912230114412,0.0002371115877188747,0.335517319351563,-1.3403912230114412,0.0002371115877188747
ENSMUSG00000025925,Terf1,0.11911437837972595,0.3781282604684466,0.7158082509542821,0.08829403140830605,-0.3781282604684466,0.7158082509542821
ENSMUSG00000032719,Sbspon,0.012487797733358365,-0.3879836793572755,1.0,0.013244104711245907,0.3879836793572755,1.0
ENSMUSG00000067795,4930444P10Rik,0.021133196164144927,1.328223354642133,0.4202497882005722,0.004414701570415303,-1.328223354642133,0.4202497882005722
ENSMUSG00000043716,Rpl7,11.797126458721085,0.25577707392908566,0.6528608655447017,9.911005025582353,-0.25577707392908566,0.6528608655446831
ENSMUSG00000025921,Rdh10,0.13928697471822793,-0.6202238866500713,0.2752117091213113,0.21190567537993452,0.6202238866500713,0.2752117091213113
ENSMUSG00000025920,Stau2,0.7828888578990052,0.09338244808256302,1.0,0.7328404606889403,-0.09338244808256302,1.0
ENSMUSG00000025939,Ube2w,0.6858682755090671,0.28646083025087143,0.6709203283832956,0.5606670994427434,-0.28646083025087143,0.6709203283832956
ENSMUSG00000079658,Eloc,2.419750960794594,0.23042530445702192,0.739593285795205,2.0660803349543615,-0.23042530445702192,0.739593285795205
ENSMUSG00000025940,Tmem70,0.8885548387197298,0.39274324115045456,0.4917635640740435,0.6754493402735413,-0.39274324115045456,0.4917635640740435
ENSMUSG00000025779,Ly96,0.025936195292359684,-1.2948742749657947,0.23210821765234033,0.06180582198581423,1.2948742749657947,0.23210821765234033
ENSMUSG00000042686,Jph1,0.012487797733358365,0.6120163206427245,0.8208926691212184,0.004414701570415303,-0.6120163206427245,0.8208926691212184
ENSMUSG00000025777,Gdap1,0.7819282580733623,0.13546764481893503,0.9467310418087124,0.7107669528368638,-0.13546764481893503,0.9467310418087124
ENSMUSG00000099899,Gm28784,0.013448397559001317,0.1265894934724816,1.0,0.008829403140830605,-0.1265894934724816,1.0
ENSMUSG00000067780,Pi15,0.0019211996512859025,-1.6103761006937232,0.7740671445923375,0.004414701570415303,1.6103761006937232,0.7740671445923375
ENSMUSG00000100053,Gm28154,0.0019211996512859025,-0.6103761006937232,1.0,0.0,0.6103761006937232,1.0
ENSMUSG00000025776,Crispld1,0.013448397559001317,-1.2884480058063614,0.4567993721736544,0.030902910992907116,1.2884480058063614,0.45679937217360256
ENSMUSG00000099895,Gm28153,0.0028817994769288536,-0.19533860141487924,1.0,0.0,0.19533860141487924,1.0
ENSMUSG00000109887,Gm28756,0.028817994769288535,0.1738952082508387,1.0,0.022073507852076513,-0.1738952082508387,1.0
ENSMUSG00000089787,Gm15825,0.0019211996512859025,-0.6103761006937232,1.0,0.0,0.6103761006937232,1.0
ENSMUSG00000025927,Tfap2b,0.003842399302571805,-4.57385022466861,1.5750579389697795e-07,0.11036753926038256,4.57385022466861,1.5750579389697795e-07
ENSMUSG00000043760,Pkhd1,0.0,-3.1953386014148792,0.4917635640740435,0.004414701570415303,3.1953386014148792,0.4917635640740435
